Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-3.6070440149236E-17,-1.47456534203168E-18,0.0125,0,0,0,0.566521222584605,0.00243159352122455,-1.18991504556746E-17,7.48197876172947E-21,0.00243159352122455,1.33625404719829E-18,0.0048044927631521,0,0,0,0,0,0,package://quadURDF/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://quadURDF/meshes/base_link.STL,,base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wrist_link_1,-0.00199615303675466,0.0151173129424723,-7.60189482392172E-17,0,0,0,0.0214236730398781,3.75617306882312E-06,-5.01687977256722E-09,-9.85896168159331E-23,3.36475146490776E-06,-5.81603067114864E-23,3.41564364162765E-06,0,0,0,0,0,0,package://quadURDF/meshes/wrist_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://quadURDF/meshes/wrist_link_1.STL,,wrist-1,Origin_wrist_joint_1,axisWrist1,wrist_joint_1,fixed,-0.275,0,-0.0025,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
prop_link_1,1.61770873713385E-06,0.00571701126621944,-0.000219313925957254,0,0,0,0.00282137176688324,2.6492136610578E-08,-1.72405333636782E-11,4.11692393855716E-11,7.34611258663587E-06,1.13725468372896E-08,7.34126100048224E-06,0,0,0,0,0,0,package://quadURDF/meshes/prop_link_1.STL,0.67843137254902,0.67843137254902,0.729411764705882,1,0,0,0,0,0,0,package://quadURDF/meshes/prop_link_1.STL,,13 INCH PROPELLER-1,Origin_prop_joint_1,axisprop1,prop_joint_1,continuous,0,0.0317329168374843,0,0,-0.471058413408267,0,wrist_link_1,0,1,0,,,,,,,,,,,,
wrist_link_2,-0.0019961530367546,0.0151173129424723,8.98565555219451E-16,0,0,0,0.0214236730398781,3.75617306882312E-06,-5.01687977256778E-09,-1.59118118960889E-21,3.36475146490775E-06,1.8417294699041E-22,3.41564364162765E-06,0,0,0,0,0,0,package://quadURDF/meshes/wrist_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://quadURDF/meshes/wrist_link_2.STL,,wrist-8,Origin_wrist_joint_2,axisWrist2,wrist_joint_2,fixed,0,-0.275,-0.00249999999999979,1.5707963267949,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
prop_link_2,3.17591298534814E-06,0.000649830774225972,-0.000438621011574367,0,0,0,0.00282137047763377,2.64921398104155E-08,-1.66829666913551E-11,4.03989272167697E-11,7.34610885993875E-06,1.13725550487977E-08,7.34125732415794E-06,0,0,0,0,0,0,package://quadURDF/meshes/prop_link_2.STL,0.67843137254902,0.67843137254902,0.729411764705882,1,0,0,0,0,0,0,package://quadURDF/meshes/prop_link_2.STL,,13 INCH PROPELLER-2,Origin_prop_joint_2,axisprop2,prop_joint_2,fixed,-0.00010094395060628,0.0368000906666004,0.000194710459261401,0,-0.471058413408261,0,wrist_link_2,0,0,0,,,,,,,,,,,,
wrist_link_3,-0.00199615303675471,0.0151173129424723,1.85350539290081E-15,0,0,0,0.0214236730398781,3.75617306882313E-06,-5.01687977256737E-09,-3.15025659654471E-21,3.36475146490776E-06,-5.48186262843885E-23,3.41564364162765E-06,0,0,0,0,0,0,package://quadURDF/meshes/wrist_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://quadURDF/meshes/wrist_link_3.STL,,wrist-9,Origin_wrist_joint_3,axisWrist3,wrist_joint_3,fixed,0.275,0,-0.0025,1.5707963267949,0,-3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
prop_link_3,3.26752085721971E-06,0.000649829072999437,-0.000438617606276781,0,0,0,0.00282136770989785,2.64920357130763E-08,-1.72047110748282E-11,4.13691210362547E-11,7.34610439774375E-06,1.13725070266749E-08,7.34125289631278E-06,0,0,0,0,0,0,package://quadURDF/meshes/prop_link_3.STL,0.67843137254902,0.67843137254902,0.729411764705882,1,0,0,0,0,0,0,package://quadURDF/meshes/prop_link_3.STL,,13 INCH PROPELLER-3,Origin_prop_joint_3,axisprop3,prop_joint_3,fixed,-0.00010094395060628,0.0368000906666004,0.000194710459262332,0,-0.471058413408258,0,wrist_link_3,0,0,0,,,,,,,,,,,,
wrist_link_4,-0.00199615303675466,-0.0151173129424723,-2.83372844517877E-15,0,0,0,0.0214236730398781,3.75617306882312E-06,5.01687977256657E-09,4.49504173522522E-21,3.36475146490775E-06,1.1860335585263E-22,3.41564364162764E-06,0,0,0,0,0,0,package://quadURDF/meshes/wrist_link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://quadURDF/meshes/wrist_link_4.STL,,wrist-10,Origin_wrist_joint_4,axisprop4,wrist_joint_4,fixed,0,0.275,-0.0025000000000002,-1.5707963267949,0,-1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
prop_link_4,3.12714303801753E-06,0.000649836928872216,-0.000438632776560408,0,0,0,0.00282137890672256,2.64923452221767E-08,-1.65206989265725E-11,3.99761328731738E-11,7.3461294955047E-06,1.13726416792926E-08,7.34127784785196E-06,0,0,0,0,0,0,package://quadURDF/meshes/prop_link_4.STL,0.67843137254902,0.67843137254902,0.729411764705882,1,0,0,0,0,0,0,package://quadURDF/meshes/prop_link_4.STL,,13 INCH PROPELLER-4,Origin_prop_joint_4,axisprop4,prop_joint_4,fixed,-0.00010094395060628,-0.0368000906666004,-0.000194710459263326,-3.14159265358979,0.471058413408255,0,wrist_link_4,0,0,0,,,,,,,,,,,,
